epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2282.31,0.61467,0.81556,0.84533,0.99211,1,0.995,0.69208,1.17046,0.68262,1.68637,0.0006338,0.0006338,0.0006338
71,2325.28,0.76649,0.6578,0.96309,0.99261,1,0.995,0.67975,1.17288,0.70496,1.68308,0.000614,0.000614,0.000614
72,2368.25,0.71331,0.59658,0.98863,0.99218,1,0.995,0.65384,1.23127,0.70868,1.73441,0.0005942,0.0005942,0.0005942
73,2411.77,0.71855,0.71781,1.00374,0.99288,1,0.995,0.64705,1.25438,0.67369,1.77641,0.0005744,0.0005744,0.0005744
74,2455.09,0.77073,0.65782,1.00968,0.99267,1,0.995,0.68325,1.22535,0.66658,1.74334,0.0005546,0.0005546,0.0005546
75,2499.38,0.73015,0.64699,0.95691,0.99157,1,0.995,0.74002,1.13763,0.65466,1.6394,0.0005348,0.0005348,0.0005348
76,2542.79,0.6588,0.65462,0.9508,0.99201,1,0.995,0.72789,1.10395,0.7326,1.58563,0.000515,0.000515,0.000515
77,2586.72,0.73982,0.68268,0.98734,0.99296,1,0.995,0.71681,1.06949,0.75411,1.53133,0.0004952,0.0004952,0.0004952
78,2631.54,0.67807,0.71203,0.9815,0.98789,1,0.995,0.70581,1.15064,0.72738,1.56232,0.0004754,0.0004754,0.0004754
79,2674.7,0.65485,0.57615,0.96519,0.98819,1,0.995,0.71885,1.16037,0.70472,1.57176,0.0004556,0.0004556,0.0004556
80,2717.98,0.6477,0.63531,0.97081,0.98488,1,0.995,0.72698,1.04072,0.71134,1.49436,0.0004358,0.0004358,0.0004358
81,2762.81,0.47161,0.58317,0.77242,1,0.99956,0.995,0.70816,1.10795,0.7388,1.55258,0.000416,0.000416,0.000416
82,2806.69,1.14204,1.22667,1.35395,1,0.99429,0.995,0.73282,1.1944,0.69274,1.70111,0.0003962,0.0003962,0.0003962
83,2850.46,0.51176,0.59513,0.75887,1,0.99413,0.995,0.73421,1.19611,0.6662,1.71881,0.0003764,0.0003764,0.0003764
84,2894.48,0.63018,0.51244,0.99063,1,0.99406,0.995,0.7371,1.18207,0.61297,1.7322,0.0003566,0.0003566,0.0003566
85,2937.15,0.57212,0.55806,0.94202,1,0.99515,0.995,0.75884,1.15643,0.61096,1.69737,0.0003368,0.0003368,0.0003368
86,2978.87,0.64986,0.51018,0.96121,0.99221,1,0.995,0.75329,1.02983,0.63821,1.56715,0.000317,0.000317,0.000317
87,3021.51,0.50043,0.59707,0.77874,0.98839,1,0.995,0.74376,1.00725,0.61484,1.55142,0.0002972,0.0002972,0.0002972
88,3066.29,0.51741,0.50673,0.91449,0.99278,1,0.995,0.73677,1.02524,0.58778,1.53222,0.0002774,0.0002774,0.0002774
89,3109.64,0.60112,0.53106,0.9514,0.99294,1,0.995,0.73936,1.02235,0.58979,1.52251,0.0002576,0.0002576,0.0002576
90,3152.4,0.55378,0.56243,0.92565,0.99299,1,0.995,0.76774,1.0054,0.5819,1.51395,0.0002378,0.0002378,0.0002378
91,3195.24,0.54212,0.58276,0.8733,0.99309,1,0.995,0.74118,0.99883,0.5759,1.5172,0.000218,0.000218,0.000218
92,3237.29,0.85385,0.66273,1.3076,0.9926,1,0.995,0.7458,0.9802,0.58161,1.5183,0.0001982,0.0001982,0.0001982
93,3280.4,0.49522,0.53273,0.8721,0.99266,1,0.995,0.73663,0.97305,0.58305,1.51529,0.0001784,0.0001784,0.0001784
94,3321.93,0.77069,1.33169,1.13882,0.9928,1,0.995,0.7572,0.96712,0.57242,1.50835,0.0001586,0.0001586,0.0001586
95,3363.85,0.49061,0.52556,0.88784,0.99287,1,0.995,0.75982,0.95402,0.57108,1.48749,0.0001388,0.0001388,0.0001388
96,3405.7,0.52417,0.5284,0.90923,0.99334,1,0.995,0.76246,0.93913,0.56704,1.46132,0.000119,0.000119,0.000119
97,3448.09,0.46578,0.51527,0.89804,0.99366,1,0.995,0.76247,0.93438,0.55925,1.45193,9.92e-05,9.92e-05,9.92e-05
98,3490.52,0.41477,0.53828,0.76524,0.99393,1,0.995,0.76837,0.91232,0.54231,1.43161,7.94e-05,7.94e-05,7.94e-05
99,3533.36,0.55247,0.61708,0.88436,0.9939,1,0.995,0.76974,0.91169,0.53059,1.42894,5.96e-05,5.96e-05,5.96e-05
100,3576.17,0.3958,0.66525,0.75437,0.99376,1,0.995,0.76974,0.91337,0.52417,1.42859,3.98e-05,3.98e-05,3.98e-05
